Block	Spot-rowy	Spot-colx	Chr	Position
10	11	4	NA	NA
10	11	5	NA	NA
10	11	6	NA	NA
10	11	7	NA	NA
10	11	8	NA	NA
10	11	9	NA	NA
10	11	10	NA	NA
11	1	1	8	36108906.5
11	1	2	30	NA
11	1	3	20	48281907.5
11	1	4	8	33902045.5
11	1	5	8	37660325
11	1	6	30	NA
11	1	7	NA	NA
11	1	8	NA	NA
11	1	9	NA	NA
11	1	10	NA	NA
11	2	1	8	93918909.5
11	2	2	11	22566461
11	2	3	8	89748510
11	2	4	1	148506891
11	2	5	6	132840617.5
11	2	6	10	135080259
11	2	7	20	1246207.5
11	2	8	22	39797375
11	2	9	17	57770472.5
11	2	10	8	32678693
11	3	1	16	22046461
11	3	2	3	21274008
11	3	3	3	114619753.5
11	3	4	8	66800466
11	3	5	7	64587402.5
11	3	6	5	16255782
11	3	7	5	154544093
11	3	8	8	49158866
11	3	9	5	3491361.5
11	3	10	1	62866865.5
11	4	1	20	48281907.5
11	4	2	8	33902045.5
11	4	3	8	37660325
11	4	4	30	NA
11	4	5	5	121158324.5
11	4	6	3	193917589
11	4	7	4	72138316
11	4	8	15	40263625
11	4	9	8	98890575.5
11	4	10	3	125792426
11	5	1	8	89748510
11	5	2	1	148506891
11	5	3	6	132840617.5
11	5	4	10	135080259
11	5	5	20	1246207.5
11	5	6	22	39797375
11	5	7	17	57770472.5
11	5	8	8	32678693
11	5	9	8	36108906.5
11	5	10	30	NA
11	6	1	3	114619753.5
11	6	2	8	66800466
11	6	3	7	64587402.5
11	6	4	5	16255782
11	6	5	5	154544093
11	6	6	8	49158866
11	6	7	5	3491361.5
11	6	8	1	62866865.5
11	6	9	8	93918909.5
11	6	10	11	22566461
11	7	1	8	37660325
11	7	2	30	NA
11	7	3	5	121158324.5
11	7	4	3	193917589
11	7	5	4	72138316
11	7	6	15	40263625
11	7	7	8	98890575.5
11	7	8	3	125792426
11	7	9	16	22046461
11	7	10	3	21274008
11	8	1	6	132840617.5
11	8	2	10	135080259
11	8	3	20	1246207.5
11	8	4	22	39797375
11	8	5	17	57770472.5
11	8	6	8	32678693
11	8	7	8	36108906.5
11	8	8	30	NA
11	8	9	20	48281907.5
11	8	10	8	33902045.5
11	9	1	7	64587402.5
11	9	2	5	16255782
11	9	3	5	154544093
11	9	4	8	49158866
11	9	5	5	3491361.5
11	9	6	1	62866865.5
11	9	7	8	93918909.5
11	9	8	11	22566461
11	9	9	8	89748510
11	9	10	1	148506891
11	10	1	5	121158324.5
11	10	2	3	193917589
11	10	3	4	72138316
11	10	4	15	40263625
11	10	5	8	98890575.5
11	10	6	3	125792426
11	10	7	16	22046461
11	10	8	3	21274008
11	10	9	3	114619753.5
11	10	10	8	66800466
11	11	1	NA	NA
11	11	2	NA	NA
11	11	3	NA	NA
11	11	4	NA	NA
11	11	5	NA	NA
11	11	6	NA	NA
11	11	7	NA	NA
11	11	8	NA	NA
11	11	9	NA	NA
11	11	10	NA	NA
12	1	1	8	36355674
12	1	2	30	NA
12	1	3	20	42939001
12	1	4	NA	NA
12	1	5	8	37780510.5
12	1	6	NA	NA
12	1	7	NA	NA
12	1	8	NA	NA
12	1	9	NA	NA
12	1	10	NA	NA
12	2	1	16	31189236
12	2	2	NA	NA
12	2	3	8	28300098.5
12	2	4	NA	NA
12	2	5	6	121410562
12	2	6	10	97411475
12	2	7	20	47237837
12	2	8	4	1681450
12	2	9	11	74273805
12	2	10	8	32840471.5
12	3	1	16	59440696
12	3	2	NA	NA
12	3	3	18	10930680.5
12	3	4	8	20560268.5
12	3	5	5	65083902
12	3	6	5	93154440
12	3	7	24	27627807.5
12	3	8	12	103009873.5
12	3	9	12	10940823
12	3	10	1	71598674
12	4	1	20	42939001
12	4	2	NA	NA
12	4	3	8	37780510.5
12	4	4	NA	NA
12	4	5	8	78556447.5
12	4	6	14	48444636.5
12	4	7	3	60721852.5
12	4	8	3	144678276.5
12	4	9	4	62648006.5
12	4	10	NA	NA
12	5	1	8	28300098.5
12	5	2	NA	NA
12	5	3	6	121410562
12	5	4	10	97411475
12	5	5	20	47237837
12	5	6	4	1681450
12	5	7	11	74273805
12	5	8	8	32840471.5
12	5	9	8	36355674
12	5	10	30	NA
12	6	1	18	10930680.5
12	6	2	8	20560268.5
12	6	3	5	65083902
12	6	4	5	93154440
12	6	5	24	27627807.5
12	6	6	12	103009873.5
12	6	7	12	10940823
12	6	8	1	71598674
12	6	9	16	31189236
12	6	10	NA	NA
12	7	1	8	37780510.5
12	7	2	NA	NA
12	7	3	8	78556447.5
12	7	4	14	48444636.5
12	7	5	3	60721852.5
12	7	6	3	144678276.5
12	7	7	4	62648006.5
12	7	8	NA	NA
12	7	9	16	59440696
12	7	10	NA	NA
12	8	1	6	121410562
12	8	2	10	97411475
12	8	3	20	47237837
12	8	4	4	1681450
12	8	5	11	74273805
12	8	6	8	32840471.5
12	8	7	8	36355674
12	8	8	30	NA
12	8	9	20	42939001
12	8	10	NA	NA
12	9	1	5	65083902
12	9	2	5	93154440
12	9	3	24	27627807.5
12	9	4	12	103009873.5
12	9	5	12	10940823
12	9	6	1	71598674
12	9	7	16	31189236
12	9	8	NA	NA
12	9	9	8	28300098.5
12	9	10	NA	NA
12	10	1	8	78556447.5
12	10	2	14	48444636.5
12	10	3	3	60721852.5
12	10	4	3	144678276.5
12	10	5	4	62648006.5
12	10	6	NA	NA
12	10	7	16	59440696
12	10	8	NA	NA
12	10	9	18	10930680.5
12	10	10	8	20560268.5
12	11	1	NA	NA
12	11	2	NA	NA
12	11	3	NA	NA
12	11	4	NA	NA
12	11	5	NA	NA
12	11	6	NA	NA
12	11	7	NA	NA
12	11	8	NA	NA
12	11	9	NA	NA
12	11	10	NA	NA
13	1	1	8	34108057.5
13	1	2	8	38029371
13	1	3	19	54054080
13	1	4	8	31733952
13	1	5	8	35423195.5
13	1	6	0	NA
13	1	7	NA	NA
13	1	8	NA	NA
13	1	9	NA	NA
13	1	10	NA	NA
13	2	1	8	22961594.5
13	2	2	5	54598150.5
13	2	3	21	36849683
13	2	4	1	3168312.5
13	2	5	1	196831516.5
13	2	6	9	2216348.5
13	2	7	10	107918378
13	2	8	23	76490511.5
13	2	9	3	30498277.5
13	2	10	20	49753228.5
13	3	1	3	95411560
13	3	2	2	96245906.5
13	3	3	11	34064331.5
13	3	4	7	142641910
13	3	5	4	23047096.5
13	3	6	8	125336604
13	3	7	8	4146394.5
13	3	8	19	60963468.5
13	3	9	3	195503124
13	3	10	8	137501811.5
13	4	1	19	54054080
13	4	2	8	31733952
13	4	3	8	35423195.5
13	4	4	0	NA
13	4	5	8	11548879
13	4	6	12	75686766.5
13	4	7	8	132850638.5
13	4	8	8	111782953.5
13	4	9	8	75498832
13	4	10	8	64119191
13	5	1	21	36849683
13	5	2	1	3168312.5
13	5	3	1	196831516.5
13	5	4	9	2216348.5
13	5	5	10	107918378
13	5	6	23	76490511.5
13	5	7	3	30498277.5
13	5	8	20	49753228.5
13	5	9	8	34108057.5
13	5	10	8	38029371
13	6	1	11	34064331.5
13	6	2	7	142641910
13	6	3	4	23047096.5
13	6	4	8	125336604
13	6	5	8	4146394.5
13	6	6	19	60963468.5
13	6	7	3	195503124
13	6	8	8	137501811.5
13	6	9	8	22961594.5
13	6	10	5	54598150.5
13	7	1	8	35423195.5
13	7	2	0	NA
13	7	3	8	11548879
13	7	4	12	75686766.5
13	7	5	8	132850638.5
13	7	6	8	111782953.5
13	7	7	8	75498832
13	7	8	8	64119191
13	7	9	3	95411560
13	7	10	2	96245906.5
13	8	1	1	196831516.5
13	8	2	9	2216348.5
13	8	3	10	107918378
13	8	4	23	76490511.5
13	8	5	3	30498277.5
13	8	6	20	49753228.5
13	8	7	8	34108057.5
13	8	8	8	38029371
13	8	9	19	54054080
13	8	10	8	31733952
13	9	1	4	23047096.5
13	9	2	8	125336604
13	9	3	8	4146394.5
13	9	4	19	60963468.5
13	9	5	3	195503124
13	9	6	8	137501811.5
13	9	7	8	22961594.5
13	9	8	5	54598150.5
13	9	9	21	36849683
13	9	10	1	3168312.5
13	10	1	8	11548879
13	10	2	12	75686766.5
13	10	3	8	132850638.5
13	10	4	8	111782953.5
13	10	5	8	75498832
13	10	6	8	64119191
13	10	7	3	95411560
13	10	8	2	96245906.5
13	10	9	11	34064331.5
13	10	10	7	142641910
13	11	1	NA	NA
13	11	2	NA	NA
13	11	3	NA	NA
13	11	4	NA	NA
13	11	5	NA	NA
13	11	6	NA	NA
13	11	7	NA	NA
13	11	8	NA	NA
13	11	9	NA	NA
13	11	10	NA	NA
14	1	1	8	34266906
14	1	2	8	30884742.5
14	1	3	4	101458845.3
14	1	4	8	31904716
14	1	5	8	35475521
14	1	6	0	NA
14	1	7	NA	NA
14	1	8	NA	NA
14	1	9	NA	NA
14	1	10	NA	NA
14	2	1	5	168458244.5
14	2	2	5	140017291
14	2	3	23	11882004.5
14	2	4	1	14047634.5
14	2	5	1	203336956
14	2	6	9	112859970.5
14	2	7	13	94474818
14	2	8	23	34651244.5
14	2	9	17	40978864.5
14	2	10	8	30772411.5
14	3	1	3	51356362
14	3	2	8	56843203.5
14	3	3	3	82450561.5
14	3	4	2	42530474.5
14	3	5	15	72638991.5
14	3	6	7	77565690.5
14	3	7	8	141089058
14	3	8	24	2770565
14	3	9	12	61721217.5
14	3	10	4	52599033
14	4	1	4	101458845.3
14	4	2	8	31904716
14	4	3	8	35475521
14	4	4	0	NA
14	4	5	8	4839133
14	4	6	8	80370644.5
14	4	7	8	119479370
14	4	8	4	91013670.5
14	4	9	2	164460160.5
14	4	10	12	133060870.5
14	5	1	23	11882004.5
14	5	2	1	14047634.5
14	5	3	1	203336956
14	5	4	9	112859970.5
14	5	5	13	94474818
14	5	6	23	34651244.5
14	5	7	17	40978864.5
14	5	8	8	30772411.5
14	5	9	8	34266906
14	5	10	8	30884742.5
14	6	1	3	82450561.5
14	6	2	2	42530474.5
14	6	3	15	72638991.5
14	6	4	7	77565690.5
14	6	5	8	141089058
14	6	6	24	2770565
14	6	7	12	61721217.5
14	6	8	4	52599033
14	6	9	5	168458244.5
14	6	10	5	140017291
14	7	1	8	35475521
14	7	2	0	NA
14	7	3	8	4839133
14	7	4	8	80370644.5
14	7	5	8	119479370
14	7	6	4	91013670.5
14	7	7	2	164460160.5
14	7	8	12	133060870.5
14	7	9	3	51356362
14	7	10	8	56843203.5
14	8	1	1	203336956
14	8	2	9	112859970.5
14	8	3	13	94474818
14	8	4	23	34651244.5
14	8	5	17	40978864.5
14	8	6	8	30772411.5
14	8	7	8	34266906
14	8	8	8	30884742.5
14	8	9	4	101458845.3
14	8	10	8	31904716
14	9	1	15	72638991.5
14	9	2	7	77565690.5
14	9	3	8	141089058
14	9	4	24	2770565
14	9	5	12	61721217.5
14	9	6	4	52599033
14	9	7	5	168458244.5
14	9	8	5	140017291
14	9	9	23	11882004.5
14	9	10	1	14047634.5
14	10	1	8	4839133
14	10	2	8	80370644.5
14	10	3	8	119479370
14	10	4	4	91013670.5
14	10	5	2	164460160.5
14	10	6	12	133060870.5
14	10	7	3	51356362
14	10	8	8	56843203.5
14	10	9	3	82450561.5
14	10	10	2	42530474.5
14	11	1	NA	NA
14	11	2	NA	NA
14	11	3	NA	NA
14	11	4	NA	NA
14	11	5	NA	NA
14	11	6	NA	NA
14	11	7	NA	NA
14	11	8	NA	NA
14	11	9	NA	NA
14	11	10	NA	NA
15	1	1	8	35826908
15	1	2	0	NA
15	1	3	20	53449408
15	1	4	8	33793851
15	1	5	8	36995799
15	1	6	30	NA
15	1	7	NA	NA
15	1	8	NA	NA
15	1	9	NA	NA
15	1	10	NA	NA
15	2	1	5	26410499.5
15	2	2	8	120387236.5
15	2	3	2	128084095.5
15	2	4	1	140991999.5
15	2	5	6	108077992.5
15	2	6	10	118021159.5
15	2	7	20	56056071.5
15	2	8	17	59739476.5
15	2	9	11	76575428
15	2	10	8	32341440.5
15	3	1	4	82448410.5
15	3	2	18	21934966
15	3	3	12	91904564
15	3	4	12	82284774
15	3	5	2	241016795
15	3	6	17	8493854
15	3	7	24	21941379
15	3	8	8	116983655.5
15	3	9	3	134493855.5
15	3	10	1	44222835.5
15	4	1	20	53449408
15	4	2	8	33793851
15	4	3	8	36995799
15	4	4	30	NA
15	4	5	8	100955021.5
15	4	6	8	84024849
15	4	7	15	81182838
15	4	8	17	39936956
15	4	9	16	88349344.5
15	4	10	8	117966660.5
15	5	1	2	128084095.5
15	5	2	1	140991999.5
15	5	3	6	108077992.5
15	5	4	10	118021159.5
15	5	5	20	56056071.5
15	5	6	17	59739476.5
15	5	7	11	76575428
15	5	8	8	32341440.5
15	5	9	8	35826908
15	5	10	0	NA
15	6	1	12	91904564
15	6	2	12	82284774
15	6	3	2	241016795
15	6	4	17	8493854
15	6	5	24	21941379
15	6	6	8	116983655.5
15	6	7	3	134493855.5
15	6	8	1	44222835.5
15	6	9	5	26410499.5
15	6	10	8	120387236.5
15	7	1	8	36995799
15	7	2	30	NA
15	7	3	8	100955021.5
15	7	4	8	84024849
15	7	5	15	81182838
15	7	6	17	39936956
15	7	7	16	88349344.5
15	7	8	8	117966660.5
15	7	9	4	82448410.5
15	7	10	18	21934966
15	8	1	6	108077992.5
15	8	2	10	118021159.5
15	8	3	20	56056071.5
15	8	4	17	59739476.5
15	8	5	11	76575428
15	8	6	8	32341440.5
15	8	7	8	35826908
15	8	8	0	NA
15	8	9	20	53449408
15	8	10	8	33793851
15	9	1	2	241016795
15	9	2	17	8493854
15	9	3	24	21941379
15	9	4	8	116983655.5
15	9	5	3	134493855.5
15	9	6	1	44222835.5
15	9	7	5	26410499.5
15	9	8	8	120387236.5
15	9	9	2	128084095.5
15	9	10	1	140991999.5
15	10	1	8	100955021.5
15	10	2	8	84024849
15	10	3	15	81182838
15	10	4	17	39936956
15	10	5	16	88349344.5
15	10	6	8	117966660.5
15	10	7	4	82448410.5
15	10	8	18	21934966
15	10	9	12	91904564
15	10	10	12	82284774
15	11	1	NA	NA
15	11	2	NA	NA
15	11	3	NA	NA
15	11	4	NA	NA
15	11	5	NA	NA
15	11	6	NA	NA
15	11	7	NA	NA
15	11	8	NA	NA
15	11	9	NA	NA
15	11	10	NA	NA
16	1	1	8	35785224
16	1	2	30	NA
16	1	3	20	46751417
16	1	4	8	33727707.5
16	1	5	8	37320242.5
16	1	6	30	NA
16	1	7	NA	NA
16	1	8	NA	NA
16	1	9	NA	NA
16	1	10	NA	NA
16	2	1	8	92067671.5
16	2	2	8	82256208
16	2	3	16	101178.5
16	2	4	1	142711970
16	2	5	6	143455355
16	2	6	10	22597873
16	2	7	20	37997423
16	2	8	7	55025760
16	2	9	19	45894630.5
16	2	10	8	32433494
16	3	1	11	125202177
16	3	2	11	104413151.5
16	3	3	7	133692356
16	3	4	2	185493092.5
16	3	5	11	134598513.5
16	3	6	5	40161354.5
16	3	7	7	112755186.5
16	3	8	2	31562397.5
16	3	9	7	122379700
16	3	10	1	53184347
16	4	1	20	46751417
16	4	2	8	33727707.5
16	4	3	8	37320242.5
16	4	4	30	NA
16	4	5	8	113175966
16	4	6	8	55146623.5
16	4	7	11	85838093.5
16	4	8	8	18310982
16	4	9	2	154761132.5
16	4	10	11	44302200.5
16	5	1	16	101178.5
16	5	2	1	142711970
16	5	3	6	143455355
16	5	4	10	22597873
16	5	5	20	37997423
16	5	6	7	55025760
16	5	7	19	45894630.5
16	5	8	8	32433494
16	5	9	8	35785224
16	5	10	30	NA
16	6	1	7	133692356
16	6	2	2	185493092.5
16	6	3	11	134598513.5
16	6	4	5	40161354.5
16	6	5	7	112755186.5
16	6	6	2	31562397.5
16	6	7	7	122379700
16	6	8	1	53184347
16	6	9	8	92067671.5
16	6	10	8	82256208
16	7	1	8	37320242.5
16	7	2	30	NA
16	7	3	8	113175966
16	7	4	8	55146623.5
16	7	5	11	85838093.5
16	7	6	8	18310982
16	7	7	2	154761132.5
16	7	8	11	44302200.5
16	7	9	11	125202177
16	7	10	11	104413151.5
16	8	1	6	143455355
16	8	2	10	22597873
16	8	3	20	37997423
16	8	4	7	55025760
16	8	5	19	45894630.5
16	8	6	8	32433494
16	8	7	8	35785224
16	8	8	30	NA
16	8	9	20	46751417
16	8	10	8	33727707.5
16	9	1	11	134598513.5
16	9	2	5	40161354.5
16	9	3	7	112755186.5
16	9	4	2	31562397.5
16	9	5	7	122379700
16	9	6	1	53184347
16	9	7	8	92067671.5
16	9	8	8	82256208
16	9	9	16	101178.5
16	9	10	1	142711970
16	10	1	8	113175966
16	10	2	8	55146623.5
16	10	3	11	85838093.5
16	10	4	8	18310982
16	10	5	2	154761132.5
16	10	6	11	44302200.5
16	10	7	11	125202177
16	10	8	11	104413151.5
16	10	9	7	133692356
16	10	10	2	185493092.5
16	11	1	NA	NA
16	11	2	NA	NA
16	11	3	NA	NA
16	11	4	NA	NA
16	11	5	NA	NA
16	11	6	NA	NA
16	11	7	NA	NA
16	11	8	NA	NA
16	11	9	NA	NA
16	11	10	NA	NA
